Plant,Disease,Symptom,Cause,Comment,Management
Plum and prune,Black knot,Elongated swellings (knots) on woody parts of tree which can reach up to 30 cm (12 in) long; knots are initially olive green in color with a corky texture but turn black in color and become hard and brittle; knots grow in length each year,Fungus,Infections occur on new shoots after rainfall and knots develop rapidly in second year,"Prune knots on twigs and branches 8-10 cm (3-4 in) below the swelling and remove the pruned branches from the orchard; remove knots on older branches by removing the knot plus 2 cm (0.8 in) of surrounding tissue; removal of knots is most effective when done in midsummer; disease can be controlled by application of appropriate fungicides, if available, during shoot elongation"
Plum and prune,Brown rot,Death of young blossoms and associated twigs and leaves; small tan cankers with dark margins on twigs; gummy exudate at base of flowers; brown spore masses on flowers in humid conditions; infected fruit usually exhibit a rapidly spreading brown rot but may also take the form of small necrotic spots; infected fruits usually remain attached to the tree,Fungi,"Fungus survives in mummified fruit on the tree, blighted blossoms, cankers and infected twigs; blossom and twig blights are promoted by periods of wet weather","The currently most effective method of controlling brown rot is through the application of appropriate protective fungicides timed so that they are applied when the susceptible flower parts are exposed or after a wet period; avoiding sprinkler irrigation protects the leaves and flowers from wetness that promotes the disease. Cultural control methods include: removing mummified fruit from tree, pruning infected twigs and reducing plant stress by providing adequate levels of water and fertilizer"
Plum and prune,Powdery mildew,"White powdery growth occuring in circular patches on fruit; scabby, dry patches on fruit; white powdery growth on leaves in Fall",Fungi,"Disease emergence favored by cool, moist nights and warm days",Management of powdery mildew is reliant on the application of appropriate fungicides and cultural practices which promote good air circulation around tree canopies to lower humidity
Plum and prune,Rust,Pale yellow-green spots on both upper and lower leaf surfaces which are angular in shape and turn bright yellow in color; spots on lower leaf surface develop orange-red spores,Fungus,Fungus overwinters in twigs or in leaves which remain attached to the tree,"Rust can be prevented by spraying trees with protective fungicides; application is usually carried out one, two and three months before harvest in areas prone to early season outbreaks of the disease and after harvest in areas where disease is less problematic or emerges later in the season"
Plum and prune,Bacterial canker,"Cankers on twigs at bases of flower and leaf buds, in pruning wounds or at the base of spurs which exude amber colored gum; cankers spread upwards and form sunken areas in winter; if pathogen enters dormant buds they may be killed or open normally in Spring before collapsing in early Summer; infected buds may be symptomless",Bacterium,Bacteria are spread by water splash; disease emergence favored by high humidity and low temperatures in spring,Ensure that a suitable plum variety and rootstock is chosen based on geographic location and environmental conditions to prevent stress to tree which predisposes tree to canker disease; apply protective copper spray to trees before flowering; prune trees in early summer to decrease likelihood of infection
Plum and prune,Bacterial spot,"Water soaked, angular gray lesions on the underside of the leaves which turn purple and necrotic in the center and cause a shot hole appearance if lesion center drops out; if lesions are present in high numbers on leaves they may become chlorotic and drop from tree; cankers develop on twigs either as raised blisters or as a dark area surrounding a bud that fails to open; in years of severe infection the entire fruit crop may be lost; lesions on fruit begin as small brown, water-soaked lesions which may exude gum",Bacterium,"Periods of frequent rainfall during late bloom and early petal drop increase likelihood of fruit and leaf infection; infection is rare during hot, dry weather","Avoid planting susceptible varieties in areas where disease is known; once disease is visible it can be difficult to control, protective copper applications in the Fall prior to leaf drop and/or application in early growing season may help prevent the disease; care should be taken as peach trees are very sensitive to copper"
Plum and prune,Crown gall,"Galls on root and/or crown of tree which can range in size from so small they are not visible to the naked eye up to 10 cm (4 in) in diameter; galls first become visible as white, fleshy swellings that grow rapidly and become tan to brown in color; galls typically develop at the site of a wound and new galls form adjacent to old ones the next year",Bacterium,"Infection with crown gall begins at the site of plant wounds; disease emergence is favored by poorly-drained, alkaline soils and previous feeding damage by nematodes","Chemical control of the disease is generally ineffective; an effective bacterial biological control is available for commercial production; cultural control methods include: planting only certified, disease-free material, planting plum in well-draining soil, rotating infected fields with a non-host before plum is planted and also using good sanitation practices"
Plum and prune,Phytophthora root and crown rot,"Poor new growth; leaves chlorotic, small in size and sparse; fruit may be small, brightly colored and susceptible to sunburn; shoots may suffer from dieback and tree will often die within weeks or months of first signs of infection or decline gradually over several seasons; root crown may show signs of decay which develops into a canker; bark of infected crown tissue turns dark brown; cankers may occur on aerial parts of plant",Oomycete,Severity of disease is linked to soil moisture content; water-saturated soils promote development of fungus,Management of phytophthora is reliant on good management of water: plum trees should be planted in well-draining soil to minimize the frequency and duration of water saturated soil; trees should be propagated from resistant rootstock and application of appropriate systemic fungicides may provide some protection from the disease
Plum and prune,Plum pox virus,"Pale green chlorotic spots, rings and lines on leaves which appear in early summer; the spots may become necrotic; infected fruit have rings or spots on the surface and may have red rings or spots on the stone",Virus,Virus is transmitted by aphids but most common method of spread is diseased plant material,Plant certified healthy material; remove infected trees from orchard; chemical sprays to control aphids may prolong spread of virus
Pomegranate,Cercospora fruit spot,Light brown spots on leaves and fruit which enlarge and coalesce to form large black patches on fruit; black elliptical spots appear on twigs and become flattened and depressed with a raised margin; infected twigs dry out and die; infection may cause plant death.,Fungus,Disease emergence is favored by rainfall and water saturated soil.,Diseased fruits should be removed and destroyed; infected twigs and branches should be pruned out; applications of appropriate fungicides can help to control the disease.
Pomegranate,Heart rot (Black heart),Interior of fruit rotting with no external symptoms; infected fruits are usually lighter in weight than healthy fruits and may be paler in color.,Fungi,May be linked to moisture levels at time of flowering.,No known method of control.
Pomegranate,Aphids (cotton aphids),"Both adults and nymphs suck sap from growing shoots, flowers and young fruit. Heavy infestation leads to stunting or week tree. Sooty mold and soft rot may develop on the fruit.",Insect,Aphids are carried by ants from one plant to another.,Encourage natural enemies. Keep the field free from crop debris and weeds. Spraying strong jet of water to dislodge the aphid. If infestation is severe spray suitable insecticide.
Pomegranate,Leaf-footed plant bugs,Both adult and nymphs feeds by penetrating their mouth parts to the thick skin of the pomegranate fruit to the arils resulting in withering of stung arils.,Insect,The insect have wide host range.,If the infestation is severe apply suitable insecticide.
Pomegranate,"Mealy bug (Grape mealy bug, citrophilus mealybug, striped mealybug)","The insect infect all parts of the plant. Both nymphs and adults suck the sap from the leaves, flowers and fruits,resulting in yellowing of leaves, curling and shedding of flowers and tender fruits. Also the market value of such fruits reduced. In dry season insect can invade roots and suck sap. Due to honey dew secretion sooty mold may develop on leaves and fruits.",Insect,Polyphagous insect. Female can lay 300 to 400 eggs in soil. Short life cycle (40 days).,Spraying soap solution reduces mealy bug population. Encourage natural enemies. If the infestation is severe apply suitable insecticide.
Pomegranate,Omnivorous leafroller,"Larvae enter the fruit by craving surface grooves, especially where the two fruits touched. It causes tunneling in fruit. Due to the skin damage secondary pathogens may infect the fruits and resulting in rotting.",Insect,Insect lay eggs on weeds near the field in the off season.,Keep the field free from weeds. Remove the infected fruits and burn them. Use pheromone trap to kill adult insects.
Pomegranate,"Pomegranate fruit borer (Anar butterfly, common guava blue butterfly)",The female butterfly lay eggs on tender leaves. After hatching the larvae feeds on fruit by boring hole. The damaged fruit rots and emits a foul smell. One can see the excreta of larvae near the hole. The final stage larvae come out of the hole and pupate by spinning the web.,Insect,The life cycle of insect is completed in 1 to 2 months. Very common pests in Asia.,Remove the damaged fruit and burn them. Grow available resisting varieties. If infestation is severe spray suitable insecticide.
Pomegranate,Citrus Flat mite,"Suck sap from fruit surface resulting in skin russeting, checking or leathery skin. This leads to reduce in market value of fruits. The citrus flat mite damage starts from the stem end of the fruit.",Mite,Mites are very small and difficult to trace them. If you use hand lens can see mites and their cast skins in the cracks of damaged fruits.,Application of sulfur before and after flowering reduces the mite population.
Potato,Bacterial ring rot,Wilting stems and leaves; dying leaves; lower leaves wilting first; ring of creamy yellow to brown rot visible when tuber is cut crossways,Bacterium,"Becterium is tuber-borne; bacteria can enter tuber through cutting wounds; disease favored by wet, warm soils; bacteria overwinter in potato debris",Plant only certified seed potatoes - certified seed potatoes are grown in seed beds with zero tolerance of ring rot; remove all crop debris from soil after harvest; sanitize tools and equipment regularly
Potato,Blackleg (Soft rot),"Small, water-soaked lesions on base of stems originating from seed piece; lesions may enlarge to form a large extended lesion stretching from base of stem to canopy; tissue becomes soft and water-soaked and can be lighty brown to inky black in color; wilted, curled leaves which have a soft and slimy texture when wet",Bacterium,Bacteria are carried on tubers and in wounds and can be spread to healthy tubers during handling and cutting of seed pieces; disease emergence favors high soil temperatures,Plant seed pieces which are the product of tissue culture; sanitize tools and equipment when cutting seed pieced to prevent bacterial contamination; avoid damaging tubers during harvest; reduce periods of leaf wetness by allowing enough time for leaves to dry throughout the day after watering
Potato,Common scab,"Raised brown lesions on tubers with corky texture; deep, pitted brown or black lesions on tuber with straw-colored translucent tissue underneath",Bacterium,Disease is most severe during warm and dry conditions,"Common scab can be very difficult to manage and prevention of the disease relies on combining several different methods. These include: avoiding planting infected tubers, using a 3-4 rotation away from potato; planting less susceptible potato varieties (none are immune); maintaining a high soil moisture content for 4-6 weeks after stolon tips begin to swell at the onset of tuber development; amending soil to lower pH and treating seed with appropriate fungicides when available"
Potato,Bad Image,,,,Stressed plants are more susceptible to black dot; rotate crops away from potato; do not plant infested tubers or seed pieces; fertilize and water plants adequately; protective fungicides can be applied where available
Potato,Early Blight,,,,No potato varieties are completely resistant to the disease; control relies on reducing the level of inoculum in both the soil and in tubers; methods include applying fungicide to seed pieces or soil; avoiding planting seeds too deeply in cold soils and rotating crop away from potato to reduce levels of soil inoculum
Potato,Early Blight Leaf,,,,"Cultural control is very important for managing the disease, provide plants with adequate fertilizer and water; application of appropriate protective fungicides where available can provide adequate control of disease but will not treat an established infection"
Potato,Early Blight Symptoms,,,,Plant potato in well-draining soils with no history of pink rot; avoid overwatering plants; avoid wounding during harvest
Potato,Fungicide Residue,,,,Application of appropriate protective fungicide can reduce severity of foliar symptoms; reduce stress to plants by fertilizing and watering adequately; plant late varieties which are less susceptible to disease; store tubers in cool environment
Potato,Healthy,,,,Do not plant tubers showing symptoms of disease; avoid planting potato in poorly draining soils; if disease occurs rotate crop away from potato for a period of 3-10 years and avoid planting tomato
Potato,Insect Damage,,,,Planting resistant varieties of potato is the most common method of controlling the disease; cultural practices such as using furrow irrigation in place of sprinkler irrigation and avoiding overwatering plant can also reduce the severity of the disease should it occur
Potato,Late Blight,,,,Rotating crops away from potato and destroying any infected tubers helps to control the disease; infection can be reduced by application of appropriate foliar fungicides; delaying harvest to allow the skin of the tuber to mature reduced the risk of injury to the tuber
Potato,Late Blight Leaf,,,,Control depends on a multifaceted approach with importance of certain practices changing based on geographic location: destroy infected tubers; destroy any volunteer plants; application of appropriate fungicide to potato hills at emergence; time watering to reduce periods of leaf wetness e.g. water early to allow plant to dry off during the day; plant resistant varieties; apply appropriate protective fungicide if disease is forecast in area
Potato,Late Blight Symptoms,,,,Grow plants produced clonally from PLRV-free stock; harvest potato crop early in temperate regions to avoid aphid migrations late in season; remove and destroy infected plants and tubers; application of appropriate insecticides where available may help reduce spread
Potato,Mite Damage,,,,Plant material which is free of PVA; plant tolerant potato varieties in areas where virus is common; application of appropriate systemic insecticides helps to control aphid populations`
Potato,Other,,,,Planting seed free of PVX is the most important method of controlling the virus
Potato,Potato Healthy,,,,"Plant only certified seed potatoes; application of appropriate systemic insecticides, where available, may control spread of virus within a single plantation but will not prevent spread caused by winged aphids; remove and destroy symptomatic plants; plant resistant varieties"
Potato,Potato Virus,,,,If aphid population is limited to just a few leaves or shoots then the infestation can be pruned out to provide control; check transplants for aphids before planting; use tolerant varieties if available; reflective mulches such as silver colored plastic can deter aphids from feeding on plants; sturdy plants can be sprayed with a strong jet of water to knock aphids from leaves; insecticides are generally only required to treat aphids if the infestation is very high - plants generally tolerate low and medium level infestation; insecticidal soaps or oils such as neem or canola oil are usually the best method of control; always check the labels of the products for specific usage guidelines prior to use
Potato,Unknown,,,,"Control of Colorado potato beetle can be challenging as they have developed high levels of insecticide resistance; in the home garden planting early maturing varieties of potato allows the plants to escape from most damage; adults and larvae should be hand picked from plants and destroyed in soapy water; applications of Bacillus thuringiensis can be effective at controlling larvae but should be applied frequently; some insecticides, including spinosad, are still effective against adult beetles"
Potato,Virus,,,,"Remove all plant residue from soil after harvest or at least two weeks before planting, this is especially important if the previous crop was another host such as alfalfa, beans or a leguminous cover crop; plastic or foil collars fitted around plant stems to cover the bottom 3 inches above the soil line and extending a couple of inches into the soil can prevent larvae severing plants; hand-pick larvae after dark; spread diatomaceous earth around the base of the plants (this creates a sharp barrier that will cut the insects if they try and crawl over it); apply appropriate insecticides to infested areas of garden or field if not growing organically"
Potato,Wilting,,,,"In areas where flea beetles are a problem, floating row covers may have to be used prior to the emergence of the beetles to provide a physical barrier to protect young plants; plant seeds early to allow establishment before the beetles become a problem - mature plants are less susceptible to damage; trap crops may provide a measure of control - cruciferous plants are best; application of a thick layer of mulch may help prevent beetles reaching surface; application on diamotecoeus earth or oils such as neem oil are effective control methods for organic growers; application of insecticides containing carbaryl, spinosad, bifenthrin and permethrin can provide adequate control of beetles for up to a week but will need reapplied"
Potato,Black dot,,,,"Chemical control impossible in a standing crop, must be applied at preplanting or as a seed treatment; if wireworms are known to be present in soil fallow field during summer and till frequently to reduce numbers; rotate to non-host crop where possible; avoid planting susceptible crops after a wireworm infestation on cereals without either fallowing of applying appropriate pesticide"
Pumpkin,Alternaria leaf blight,"Small, yellow-brown spots with a yellow or green halo which first appear on the oldest leaves; as the disease progresses, lesions expand and becone large necrotic patches, often with concentric patternation; lesions coalesce, leaves begin to curl and eventually die",Fungus,Disease is prevalent in growing areas where temperatures are high and rainfall is frequent,Cucurbits should be rotated with another crop every 2 years to reduce levels of inoculum; crop debris should be removed from the field as quickly as possible after harvest or plowed deeply into the soil; applications of appropriate protective fungicides can help to slow the development of the disease; water plants from the base rather than from above to reduce periods of leaf wetness which are conducive to the development and spread of disease
Pumpkin,Alternaria leaf spot,"Initial symptoms appear as necrotic flecks on leaves with chlorotic halos; as the disease progresses, the flecks grow into spots which may join together into large, roughly circular lesions; if infestation is severe, leaves begin to turn yellow and die",Fungus,Pathogen survives between growing season on crop debris,Crops debris should be removed from the field or plowed deeply into the soil after harvest; applications of appropriate protective fungicides can hep reduce the incidence of the disease
Pumpkin,Cercospora leaf spot,"Initial symptoms of disease occur on older leaves as small spots with light to tan brown centers; as the disease progresses, the lesions enlarge to cover large areas of the leaf surface; lesions may have a dark border and be surrounded by a chlorotic area; the centers of the lesions may become brittle and crack",Fungus,Fungus survives on plant debris; spread by wind and water splash; occurs mainly in tropical and subtropical growing regions,Any diseased plants should be removed and destroyed to prevent further spread; crop debris should be removed after harvest or plowed deeply into the soil to reduce inoculum
Pumpkin,Downy mildew,Dead or dying leaves; yellow to brown lesions on the upper side of leaves; purple growth developing on the underside of leaves,Fungus,Disease emergence favors cool nights and high moisture,"Do not overcrowd plants; avoid overhead irrigation, water plants from base; apply appropriate fungicide"
Pumpkin,Fusarium crown and foot rot,Wilting of leaves progresses to wilting of entire plant and plant dies within a few days; distinctive necrotic rot of crown and upper taproot when plant is uprooted; plant breaks easily below soil line,Fungus,Fungus can survive in soil for 2-3 years,Plant fungicide treated seed; rotate crops on 4 year rotation
Pumpkin,Gummy stem blight,"Brown or tan spots of various sizes on leaves; leaves covered with lesions; stems splitting and forming cankers; wounds exude a brown, gummy substance; wilting vines; death of stems",Fungus,Disease may be seed-borne,Use disease free seed; treat seeds prior to planting; rotate crops every 2 years
Pumpkin,Powdery mildew,"White powdery mold on stems, leaves and petioles; stems may be weakened",Fungi,Disease emergence favors periods of dry weather,Plant in sites with good air circulation and sun exposure; do not overcrowd plants; sanitize equipment regularly
Pumpkin,Septoria leaf spot,Initial symptoms of disease are small dark water-soaked spots on the leaves which turn beige to white in dry conditions; lesions develop thin brown borders and the centers may become brittle and crack; small white spots may erupt on the surface of infected butternut and acorn squash and pumpkin fruit,Fungus,Pathogen can survive on crop debris for periods in excess of 1 year,"Scout plants during cool wet conditions for any sign of spots; early application of an appropriate protective fungicide can help limit the development of the disease if spots are found, cucurbits should be rotated with other crops every 2 years to prevent the build-up of inoculum; crop debris should be removed and destroyed after harvest"
Pumpkin,Southern blight,Sudden wilting of leaves; yellowing foliage; browning stem above and below soil; browning branches; stem may be covered with fan-like mycelial mat; rot on fruit that begins on side in contact with soil,Fungus,"Fungus can survive in soil for long periods; disease emergence favored by high temperatures, high humidity and acidic soil; disease found mainly in tropical and subtropical regions, including the southern United States",Remove infected plants; avoid overcrowding plants to promote air circulation; rotate crops with less susceptible plants; plow crop debris deep into soil; provided a barrier to infection by wrapping lower stems of plant with aluminum foil covering below ground portion of stem and 2-3 in above soil line
Pumpkin,Verticillium wilt,Symptoms generally appear after fruit set; chlorotic leaves which develop necrotic areas; leaves collapsing; symptoms only on one side of vine; discoloration of vascular tissue in roots,Fungus,Fungus can survive in soil for many years; disease emergence favored by cool or mild weather in Spring,Do not plant in areas where other susceptible crops have been grown previously; delay planting until temperatures are warmer
Pumpkin,Angular leaf spot,"Small water-soaked lesions on leaves which expand between leaf veins and become angular in shape; in humid conditions, lesions exude a milky substance which dries to form a white crust on or beside lesions; as the disease progresses, lesions turn tan and may have yellow/green edges; the centers of the lesions dry and may drop out leaving a hole in the leaf",Bacterium,"Spread through infected seed, splashing rain, insects and movement of people between plants; bacterium overwinters in crop debris and can survive for 2.5 years","Use disease-free seed; do not grow plants in field where cucurbits have been grown in the previous 2 years; protective copper spray may help reduce incidence of disease in warm, humid climates; plant resistant varieties"
Pumpkin,Bacterial leaf spot,"Dark, angular lesions on leaves; leaf lesions may coalesce and cause severely blighted foliage; water-soaked lesions  which enlarge and develop into tan scabs, or blisters, on the fruit; blisters eventually flatten as they reach their full size",Bacterium,Jack-o-lantern varieties particularly susceptible; disease can spread rapidly in a field; disease can be introduced through contaminated seed,Avoid overhead irrigation; rotate crops away from cucurbit species to prevent disease building up; use new seed each planting as saved seed is more likely to carry bacteria; apply appropriate protective fungicides; copper containing fungicides generally provide good control
Pumpkin,Bacterial wilt,Wilting of individual runners or entire plant; leaves and stems of affected parts turn dark green; wilting is irreversible; affected parts turn necrotic,Bacterium,Spread by striped or spotted cucumber beetles; disease can be confirmed by cutting the stem and slowly pulling the two ends apart - infected plants will ooze strings of bacterial exudate,Control cucumber beetle populations on plants; hand pick adult beetles and destroy; soil and foliar application of appropriate insecticides may help to control populations
Pumpkin,Aster yellows,"Foliage turning yellow; secondary shoots begin growing prolifically; stems take on a rigid, upright growth habit; leaves are often small in size and distorted, may appear thickened; flowers are often disfigured and possess conspicuous leafy bracts; fruits are small and pale in color",Phytoplasma,Disease is transmitted by leafhoppers and can cause huge losses in cucurbit crops,Remove any infected plants from the field to reduce spread; control weeds in and around the field that may act as a reservoir for the phytoplasma; protect plants from leaf hopper vectors with row covers
Pumpkin,Cucumber mosaic,Plants are severely stunted; foliage is covered in distinctive yellow mosaic; leaves of plant curl downwards and leaf size is smaller than normal; flowers on infected plants may be deformed with green petals; fruits become distorted and are small in size; fruit is often discolored,Virus,Transmitted by aphids; virus has an extensive host range; can be mechanically transmitted via tools etc.,Control of the virus is largely dependant on the control of the aphid vectors; reflective mulches can deter aphid feeding; aphid outbreaks can be treated with mineral oils or insecticidal soap applications; some resistant varieties are available
Pumpkin,Squash mosaic,"Symptoms vary with variety being grown but plants can show symptoms which include include green veinbanding, mottled leaves, blisters, ring spots or potruding veins at leaf margins; some squash varieties may develop leaf enations; infected plants are often stunted and fruits may be malformed with mottled skin",Virus,Virus can be transmitted through infected seed and spread by striped cucumber beetles,Use only certified disease-free seed
Pumpkin,Watermelon mosaic,"Symptoms vary widely depending on species, cultivar, virus strain and environmental conditions; symptoms on leaves may include green mosaic patternation, green vein-banding, chlorotic rings and disfigured leaves",Virus,Virus is found in almost all Cucurbit growing regions in the world; virus is spread by over 20 aphid species,Treatments that control populations of aphid vectors can also reduce the incidence of the virus; spraying plants with mineral oils or insecticidal soaps can help to reduce aphid numbers
Pumpkin,Zucchini yellow mosaic,"Infected plants are severely stunted and leaves can exhibit a variety of symptoms including yellow mosaic patternation, severe deformation, blistering, reduced size and necrosis; fruits are deformed",Virus,DIsease can cause devastating epidemics when present,"Use of resistant varieties, where available, is usually the most effective method of controlling the virus; control of aphid populations on the plants can be achieved through the use of mineral oils and insecticidal soaps but is rarely effective at controlling the virus"
Pumpkin,Phytophthora blight,Sudden and permanent wilting of plant; leaves do not change color; plant death within a few days; roots and stem close to soil line discolored light to dark brown; plant easily removed from soil; fluffy mold growing on soft rotting fruit,Oomycete,"Disease emergence favors warm, moist conditions",Efficient management of water to avoid saturated soil; avoid long periods of irrigation
Pumpkin,"Aphids (Green peach aphid, Melon aphid)","Small soft bodied insects on underside of leaves and/or stems of plant; usually green or yellow in color, but may be pink, brown, red or black depending on species and host plant; if aphid infestation is heavy it may cause leaves to yellow and/or distorted, necrotic spots on leaves and/or stunted shoots; aphids secrete a sticky, sugary substance called honeydew which encourages the growth of sooty mold on the plants",Insect,Distinguishing features include the presence of cornicles (tubular structures) which project backwards from the body of the aphid; will generally not move very quickly when disturbed,If aphid population is limited to just a few leaves or shoots then the infestation can be pruned out to provide control; check transplants for aphids before planting; use tolerant varieties if available; reflective mulches such as silver colored plastic can deter aphids from feeding on plants; sturdy plants can be sprayed with a strong jet of water to knock aphids from leaves; insecticides are generally only required to treat aphids if the infestation is very high - plants generally tolerate low and medium level infestation; insecticidal soaps or oils such as neem or canola oil are usually the best method of control; always check the labels of the products for specific usage guidelines prior to use
Pumpkin,"Armyworms (Beet armyworm, Western striped armyworm, etc.)","Singular, or closely grouped circular to irregularly shaped holes in foliage; heavy feeding by young larvae leads to skeletonized leaves; shallow, dry wounds on fruit; egg clusters of 50-150 eggs may be present on the leaves; egg clusters are covered in a whitish scale which gives the cluster a cottony or fuzzy appearance; young larvae are pale green to yellow in color while older larvae are generally darker green with a dark and light line running along the side of their body and a pink or yellow underside",Insect,Insect can go through 3–5 generations a year,Organic methods of controlling armyworms include biological control by natural enemies which parasitize the larvae and the application of Bacillus thuringiensis; there are chemicals available for commercial control but many that are available for the home garden do not provide adequate control of the larvae
Pumpkin,Cabbage looper,"Large or small holes in leaves; damage often extensive; caterpillars are pale green with a white lines running down either side of their body; caterpillars are easily distinguished by the way they arch their body when moving; eggs are laid singly, usually on the lower leaf surface close to the leaf margin, and are white or pale green in color",Insect,Insects overwinter as pupae in crop debris in soil; adult insect id a dark colored moth; caterpillars have a wide host range,Looper populations are usually held in check by natural enemies; if they do become problematic larvae can be hand-picked from the plants; an organically acceptable control method is the application of Bacillus thuringiensis which effectively kills younger larvae; chemical sprays may damage populations of natural enemies and should and should be selected carefully
Pumpkin,"Cucumber beetles (Western striped cucumber beetle, Western spotted cucumber beetle, Banded cucumber beetle)","Stunted seedling; damaged leaves, stems and/or petioles; reduced plant stand; plants may exhibit symptoms of bacterial wilt; scars on fruit caused by beetle feeding damage; adult beetles are brightly colored with either a green-yellow background and black spots or alternating black and yellow stripes",Insect,Beetles overwinter in soil and leaf litter and emerge from soil when temperatures begin to reach and exceed  12.7°C (55°F),Monitor new planting regularly for signs of beetle; floating row covers can be used to protect the plants from damage but will need to be removed at bloom to allow bees to pollinate plants; applications of kaolin clay can be effective for management of small beetle populations; application of appropriate insecticides may be necessary
Pumpkin,Cutworms,"Stems of young transplants or seedlings may be severed  at soil line; if infection occurs later, irregular holes are eaten into the surface of fruits; larvae causing the damage are usually active at night and hide during the day in the soil at the base of the plants or in plant debris of toppled plant; larvae are 2.5–5.0 cm (1–2 in) in length; larvae may exhibit a variety of patterns and coloration but will usually curl up into a C-shape when disturbed",Insects,"Cutworms have a wide host range and attack vegetables including asparagus, bean, cabbage and other crucifers, carrot, celery, corn, lettuce, pea, pepper, potato and tomato","Remove all plant residue from soil after harvest or at least two weeks before planting, this is especially important if the previous crop was another host such as alfalfa, beans or a leguminous cover crop; plastic or foil collars fitted around plant stems to cover the bottom 3 inches above the soil line and extending a couple of inches into the soil can prevent larvae severing plants; hand-pick larvae after dark; spread diatomaceous earth around the base of the plants (this creates a sharp barrier that will cut the insects if they try and crawl over it); apply appropriate insecticides to infested areas of garden or field if not growing organically"
Pumpkin,Flea beetles,Small holes or pits in leaves that give the foliage a characteristic “shothole” appearance; young plants and seedlings are particularly susceptible; plant growth may be reduced; if damage is severe the plant may be killed; the pest responsible for the damage is a small (1.5–3.0 mm) dark colored beetle which jumps when disturbed; the beetles are often shiny in appearance,Insects,"Younger plants are more susceptible to flea beetle damage than older ones; older plants can tolerate infestation; flea beetles may overwinter on nearby weed species, in plant debris or in the soil; insects may go through a second or third generation in one year","In areas where flea beetles are a problem, floating row covers may have to be used prior to the emergence of the beetles to provide a physical barrier to protect young plants; plant seeds early to allow establishment before the beetles become a problem - mature plants are less susceptible to damage; trap crops may provide a measure of control - cruciferous plants are best; application of a thick layer of mulch may help prevent beetles reaching surface; application on diamotecoeus earth or oils such as neem oil are effective control methods for organic growers; application of insecticides containing carbaryl, spinosad, bifenthrin and permethrin can provide adequate control of beetles for up to a week but will need reapplied"
Pumpkin,Squash bug,Speckled leaves which turn yellow and brown; wilting plants; dieback of runners; blemished fruit; fruit death; adult squash bugs are often misidentified as stink bugs; they are grey-black in color with orange and black stripes on the edges of their abdomen; nymphs are greenish gray in color and often covered in white powder; female squash bugs lay conspicuous copper colored eggs on the undersides of the leaves,Insect,Squash bugs overwinter in crop debris or under rocks and stones,Destroy all crops residue as soon as possible after harvest or on plant death; apply row covers at planting to protect plants;organically acceptable control methods include applications of insecticidal soaps and oils
Pumpkin,Squash vine borer,Wilting plants; holes in vines or at base of petioles; green frass (insect excrement) visible around holes,Insect,Insect overwinters in soil as larvae or pupae and adults emerge in spring; adults lay eggs on leaves and larvae burrow intro stems to feed,Apply appropriate insecticide if eggs are found on leaves; plow plants into soil after harvest
Pumpkin,Thrips (Western flower thrips),If population is high leaves may be distorted; leaves are covered in coarse stippling and may appear silvery; leaves speckled with black feces; insect is small (1.5 mm) and slender and best viewed using a hand lens; adult thrips are pale yellow to light brown and the nymphs are smaller and lighter in color,Insect,"Transmit viruses such as Tomato spotted wilt virus; once acquired, the insect retains the ability to transmit the virus for the remainder of its life","Avoid planting next to onions, garlic or cereals where very large numbers of thrips can build up; use reflective mulches early in growing season to deter thrips; apply appropriate insecticide if thrips become problematic"
Quince,Brown rot,Death of young blossoms and associated twigs and leaves; small tan cankers with dark margins on twigs; gummy exudate at base of flowers; brown spore masses on flowers in humid conditions; infected fruit usually exhibit a rapidly spreading brown rot but may also take the form of small necrotic spots; infected fruits usually remain attached to the tree,Fungi,"Fungus survives in mummified fruit on the tree, blighted blossoms, cankers and infected twigs; blossom and twig blights are promoted by periods of wet weather","The currently most effective method of controlling brown rot is through the application of appropriate protective fungicides timed so that they are applied when the susceptible flower parts are exposed or after a wet period; avoiding sprinkler irrigation protects the leaves and flowers from wetness that promotes the disease. Cultural control methods include: removing mummified fruit from tree, pruning infected twigs and reducing plant stress by providing adequate levels of water and fertilizer"
Quince,Leaf blight  (Leaf fleck),"Dark red spots on leaves; brown spots on leaves; leaves dropping from plant; small, raised purple spots with white centre on leaves; dark brown spots on leaves; no fruit produced; tree defoliation",Fungus,Fungus survives on plant debris,Remove all fallen leaves from orchard in Fall; avoid overhead irrigation; applications of appropriate fungicides may be required; orchards treated for scab are usually free of leaf blight
Quince,Fire blight,Blossoms wilting and dying; shoots shriveling and dying; cankers on branches; plant appears as if it has been scorched by fire; watery exudate may be present on infected areas,Bacterium,Bacterium overwinters in bark or cankers; spread by pollinating insects and by rain splash,Cut out diseased wood; treat with Bordeaux mixture or approved fixed copper materials for organic production; streptomycin or copper application to blossoms may be necessary to prevent spread
Radish,Alternaria blight,"Yellow, dark brown or black circular spots on leaves with concentric rings on leaves, petioles, stems and/or flowers; center of lesions may dry and drop out, giving the leaf spots a shot-hole appearance; spots coalesce to form large necrotic patches; leaf drop may occur",Fungus,"Disease emergence favors warm, wet weather","Plant only certified, disease-free seed; treat seeds with hot water prior to planting; rotate crops to non-brassica species; irrigate plants in morning to allow sufficient time to dry out during the day; apply appropriate fungicide"
